Metastudie;Doi;Titel;Publikationsjahr;Anzahl Studien;Studienname;Publikationsjahr;Geschlecht;Index_Geschlecht;Alter.Text;Alter;Alter.gewichte;Alterrange;;;;Gesamt 159;;;;;;
35;https://doi.org/10.1002/14651858.CD003205.pub2;Omega?3 polyunsaturated fatty acids (PUFA) for type 2 diabetes mellitus;2008;22;McGrath ;1996;23 participants (87% male) with type 2 diabetes;both;;not reported;;;;;109;https://doi.org/10.1002/14651858.CD007543.pub2;Objectives: To examine the evidence for enhanced glucose control in the prevention of distal symmetric polyneuropathy in people with type 1 and type 2 diabetes.;;;;;
35;https://doi.org/10.1002/14651858.CD003205.pub2;Omega?3 polyunsaturated fatty acids (PUFA) for type 2 diabetes mellitus;2008;22;McManus ;1996;11 participants (73% male) ;both;"11 participants (61.8ñ9.6 years old, 73% male) 
with 7.7ñ6.9 years of well?controlled type 2 diabetes";61,8;;;;;64;https://doi.org/10.1002/14651858.CD009613.pub4;Randomised controlled trials (RCTs) and quasi?RCTs comparing techniques of blood glucose monitoring including SMBG, continuous glucose monitoring (CGM), automated telemedicine monitoring or clinic monitoring among pregnant women with pre?existing diabetes mellitus (type 1 or type 2).;;;;;
35;https://doi.org/10.1002/14651858.CD003205.pub2;Omega?3 polyunsaturated fatty acids (PUFA) for type 2 diabetes mellitus;2008;22;Morgan ;1995;40 participants (50% males);both;"40 participants (50% males, mean age 54 years with 7?10 years of diabetes) 
with hypertriglyceridemia and well?controlled type 2 diabetes. They were divided into 4 groups: 2 doses of fish oil and 2 doses of placebo (10 patients per group).";54;;;;;96;https://doi.org/10.1002/14651858.CD012202.pub2;Exercise for pregnant women with gestational diabetes for improving maternal and fetal outcomes;;;;;
35;https://doi.org/10.1002/14651858.CD003205.pub2;Omega?3 polyunsaturated fatty acids (PUFA) for type 2 diabetes mellitus;2008;22;Mostad ;2006;;not reported;"27 participants (13 in the fish oil arm, and 14 in the placeob arm, 55% male, 
aged 40 to 75 years)";not reported;;40-75;;;77;https://doi.org/10.1002/14651858.CD007610.pub3;types of participants: People aged 18 years or older with type 1 or type 2 diabetes mellitus in any healthcare setting. ;;;;;
35;https://doi.org/10.1002/14651858.CD003205.pub2;Omega?3 polyunsaturated fatty acids (PUFA) for type 2 diabetes mellitus;2008;22;Petersen ;2002;49 participants (62% male);both;"49 participants (62% male) with type 2 diabetes (20 in the treatment and 22 in the 
control arm in one publication and 23 in treatment and 21 in controls in another publication) with ñ 9.5 years duration of diabetes, aged 33 to 85 years.";not reported;;33-85;;;155;https://doi.org/10.1002/14651858.CD005102.pub3;"Dietary advice for the prevention of type 2 diabetes mellitus in adults

This review has been withdrawn";;;;;
35;https://doi.org/10.1002/14651858.CD003205.pub2;Omega?3 polyunsaturated fatty acids (PUFA) for type 2 diabetes mellitus;2008;22;Puhakainen ;1995;9 community?dwelling participants (44% male);both;9 community?dwelling participants (44% male, 53ñ4 years old) with type 2 diabetes;53;;;;;51;https://doi.org/10.1002/14651858.CD008101.pub2;To assess the effects of CGM systems compared to conventional self?monitoring of blood glucose (SMBG) in patients with diabetes mellitus type 1.;;;;;
35;https://doi.org/10.1002/14651858.CD003205.pub2;Omega?3 polyunsaturated fatty acids (PUFA) for type 2 diabetes mellitus;2008;22;Schectman ;1988;13 participants (69% males);both;13 participants (69% males, 52ñ14.4 years old) with type 2 diabetes;52;;;;;10;https://doi.org/10.1002/14651858.CD012106.pub2;objectives: To assess the effects of SGLT 2 inhibitors focusing on the prevention or delay of T2DM and its associated complications in people with impaired glucose tolerance, impaired fasting blood glucose or moderately elevated glycosylated haemoglobin A1c (HbA1c) or any combination of these;;;;;
35;https://doi.org/10.1002/14651858.CD003205.pub2;Omega?3 polyunsaturated fatty acids (PUFA) for type 2 diabetes mellitus;2008;22;Silvis ;1990;32?46% male;both;"63 participants with type 2 diabetes (not well controlled (HbA1c 9?11), 32?46% male, 
Black, age 54ñ10 years) randomized to placebo (21, analyzed 18 in phase II), first fish oil then fiber (24, analyzed 21 in phase II) and first fiber then fish oil (18, analyzed 17 in phase II)";54;;;;;90;https://doi.org/10.1002/14651858.CD002181.pub2;selection criteria: Randomised controlled trials (RCTs) and before and after studies of the effects of a modified or restricted protein diet on diabetic renal function in people with type 1 or type 2 diabetes following diet for at least four months were considered.;;;;;
35;https://doi.org/10.1002/14651858.CD003205.pub2;Omega?3 polyunsaturated fatty acids (PUFA) for type 2 diabetes mellitus;2008;22;Sirtori ;1997; 62% male;both;"935 participants of whom 418 had type 2 diabetes divided into 211 for control and 
207 for fish oil (203 finished ? Intention to treat used); Control group: 58.8ñ8.9 years old, 62% male; Intervention: 58.2ñ9 years old, 62% male";;58,5;;;;44;https://doi.org/10.1002/14651858.CD012394.pub3;We searched the Cochrane Database of Systematic Reviews (6 August 2019) with key words ?gestational diabetes? OR ?GDM? to identify reviews pre?specifying GDM as an outcome;;;;;
35;https://doi.org/10.1002/14651858.CD003205.pub2;Omega?3 polyunsaturated fatty acids (PUFA) for type 2 diabetes mellitus;2008;22;Vessby ;1990;14 participants with type 2 diabetes (78% males);both;14 participants with type 2 diabetes (78% males, ages 39?72);;;39-72;;;;;;;;;;
35;https://doi.org/10.1002/14651858.CD003205.pub2;Omega?3 polyunsaturated fatty acids (PUFA) for type 2 diabetes mellitus;2008;22;Westerveld ;1993;24 participants (62.5% male);both;24 participants (62.5% male) with type 2 diabetes divided into three groups of 8;;;;;;;;;;;;;
35;https://doi.org/10.1002/14651858.CD003205.pub2;Omega?3 polyunsaturated fatty acids (PUFA) for type 2 diabetes mellitus;2008;22;Woodman ;2002;39 men and 12 women;both;"59 participants with type 2 diabetes, (39 men and 12 women; age 61.2ñ1.2 years; 
duration of diabetes 5.2ñ4.8 years). 17 were randomized to eicosapentaenoic acid, 18 to docosahexaenoic acid, and 16 in the placebo arm DROP?OUTS: 8";61,2;;;;;;;;;;;;
46;https://doi.org/10.1002/14651858.CD004096.pub2;Pharmacotherapy for weight loss in adults with type 2 diabetes mellitus;2005;65;Allie ;2004;Sex: NR;not reported;"Number: 23; Age: 53; Sex: NR";53;;;;;;;;;;;;
46;https://doi.org/10.1002/14651858.CD004096.pub2;Pharmacotherapy for weight loss in adults with type 2 diabetes mellitus;2005;65;Bach ;1999;;not reported;"Randomization procedure: NR; Allocation concealment: Unclear; Follow?up: 32w; 
Note: This study did not fit inclusion criteria as did not present weight outcomes, however it presented adverse event data among persons with diabetes, and is therefore presented here.";not reported;;;;;;;;;;;;
46;https://doi.org/10.1002/14651858.CD004096.pub2;Pharmacotherapy for weight loss in adults with type 2 diabetes mellitus;2005;65;Bandisode ;1975;Sex: 72%F;both;"Country: USA 
Setting: NR
Number: 64
Age: 50y 
Sex: 72%F
Medications: No insulinBL wt: 95BL BMI: NRBL GHb: NR";50;;;;;;;;;;;;
46;https://doi.org/10.1002/14651858.CD004096.pub2;Pharmacotherapy for weight loss in adults with type 2 diabetes mellitus;2005;65;Bloch ;2003;Sex: 83% ;both;"Country: Brazil
Setting: Hypertension clinic
Number: 204 total; 76 analyzed with diabetes
Age: 56 years
Sex: 83% 
overallMedications: I: 68% oral agents, 8% insulin; C: 63% oral agents and 18% insulinBL wt: I 91.5, C 87.5BL BMI: I 36.6, C 35.4BL GHb: NRNote: Demographic information was given only for whole study group (39% with diabetes), including persons with diabetes and those without.";56;;;;;;;;;;;;
46;https://doi.org/10.1002/14651858.CD004096.pub2;Pharmacotherapy for weight loss in adults with type 2 diabetes mellitus;2005;65;Bonnici ;2002;;not reported;"Country: South Africa
Setting: Multicenter trial; no details
Number: 284
Age: NR
Sex: NR
Medications: Metformin and/or sulfonylureaBL wt: NRBL BMI: NRBL GHb: NR";not reported;;;;;;;;;;;;
46;https://doi.org/10.1002/14651858.CD004096.pub2;Pharmacotherapy for weight loss in adults with type 2 diabetes mellitus;2005;65;Boshell ;1974;;not reported;"Country: USA
Setting: NR
Number: 64
Age: NR
Sex: NR
Medications: None, diet only controlBL wt:BL BMI:BL GHb:";not reported;;;;;;;;;;;;
46;https://doi.org/10.1002/14651858.CD004096.pub2;Pharmacotherapy for weight loss in adults with type 2 diabetes mellitus;2005;65;Bratusch?Marrian;1979;Sex: 66%F;both;"Country: Austria
Setting: Unclear
Number: 40
Age: 50
Sex: 66%F
Medications: NR
BL wt: I 80.3, C 93.9BL BMI: I 30.8, C 41.7BL GHb: NR";50;;;;;;;;;;;;
46;https://doi.org/10.1002/14651858.CD004096.pub2;Pharmacotherapy for weight loss in adults with type 2 diabetes mellitus;2005;65;Buckle ;1966;Sex: 80%F;both;"Country: UK
Setting: Hospital diabetes clinic
Number: 22
Age: 58 from table 1
Sex: 80%F
Medications: NRBL wt: 78BL BMI: NRBL GHb: NR";58;;;;;;;;;;;;
46;https://doi.org/10.1002/14651858.CD004096.pub2;Pharmacotherapy for weight loss in adults with type 2 diabetes mellitus;2005;65;Campbell ;1977;;not reported;"Country: Scotland
Setting: Community clinic
Number: 66
Age: NR
Sex: NR
Medications: 12% insulin; 44% oral treatmentBL wt: NRBL BMI: NRBL GHb: NR";not reported;;;;;;;;;;;;
46;https://doi.org/10.1002/14651858.CD004096.pub2;Pharmacotherapy for weight loss in adults with type 2 diabetes mellitus;2005;65;Chiasson ;1989;Sex: NR;not reported;"Country: Canada
Setting: NR
Number: 278
Age: 52y
Sex: NR
Medications: NRBL wt: 100.5BL BMI: 37BL GHb: I 7.4, C 7.3";52;;;;;;;;;;;;
46;https://doi.org/10.1002/14651858.CD004096.pub2;Pharmacotherapy for weight loss in adults with type 2 diabetes mellitus;2005;65;Connolly ;1995;Sex: 38%F;both;"Country: Scotland
Setting: Diabetic clinic
Number: 30
Age: 66
Sex: 38%F
Medications: Diet onlyBL wt: I 92.0, C 85.1BL BMI: I 32.0, C 31.5BL GHb: I 8.0, C 8.7";66;;;;;;;;;;;;
46;https://doi.org/10.1002/14651858.CD004096.pub2;Pharmacotherapy for weight loss in adults with type 2 diabetes mellitus;2005;65;Crommelin ;1974;Sex: Predominantly female;both;"Country: USA
Setting: Private practice
Number: 10
Age: Approximately 50
Sex: Predominantly female
Medications: NRBL wt: 85.0BL BMI: NRBL GHb: NR";50;;;;;;;;;;;;
46;https://doi.org/10.1002/14651858.CD004096.pub2;Pharmacotherapy for weight loss in adults with type 2 diabetes mellitus;2005;65;Daubresse ;1996;Sex: NR;not reported;"Country: Belgium
Setting: Community hospital clinic
Number: 82
Age: 52y
Sex: NR
Medications:BL wt: I 93, C 90.9 BL BMI: I 34.5, C 34.0BL GHb: I 8.5, C 8.6";52;;;;;;;;;;;;
46;https://doi.org/10.1002/14651858.CD004096.pub2;Pharmacotherapy for weight loss in adults with type 2 diabetes mellitus;2005;65;Deerochanawong ;2001;Sex: NR;not reported;"Country: NR
Setting: NR
Number: 252
Age: NR
Sex: NR
Medications: No insulin or acarboseBL wt: I 77, C 77BL BMI: NRBL GHb: NR";not reported;;;;;;;;;;;;
46;https://doi.org/10.1002/14651858.CD004096.pub2;Pharmacotherapy for weight loss in adults with type 2 diabetes mellitus;2005;65;Dimitrov ;2001;Sex: NR;not reported;"Country: Bulgaria
Setting: Academic medical clinic
Number: 12
Age: NR
Sex: NR
Medications: NRBL wt: 103.6BL BMI: NRBL GHb: NR";not reported;;;;;;;;;;;;
46;https://doi.org/10.1002/14651858.CD004096.pub2;Pharmacotherapy for weight loss in adults with type 2 diabetes mellitus;2005;65;Dolecek ;1976;Sex: 78%F;both;"Country: Czechoslovakia
Setting: NR
Number: 32
Age: 
Sex: 78%F
Medications: 38% oral agents, 31% insulinBL wt: 97.3BL BMI: NRBL GHb: NR";not reported;;;;;;;;;;;;
46;https://doi.org/10.1002/14651858.CD004096.pub2;Pharmacotherapy for weight loss in adults with type 2 diabetes mellitus;2005;65;Felt ;1977;Sex: 83%F;both;"Country: Czechoslovakia
Setting: NR
Number: 24
Age: 47y
Sex: 83%F
Medications: 50% diet only, 50% oral agentBL wt:BL BMI:BL GHb:";47;;;;;;;;;;;;
46;https://doi.org/10.1002/14651858.CD004096.pub2;Pharmacotherapy for weight loss in adults with type 2 diabetes mellitus;2005;65;Finer ;2000;Sex: 53%;both;"Country: UK
Setting: Two hospital?based diabetes clinics
Number: 91
Age: 54
Sex: 53%
Medications: 14% diet only; 24% insulinBL wt: I 84.6, C 82.5BL BMI: I 30.6, C 31.0BL GHb: 9.5";54;;;;;;;;;;;;
46;https://doi.org/10.1002/14651858.CD004096.pub2;Pharmacotherapy for weight loss in adults with type 2 diabetes mellitus;2005;65;Fujioka ;2000;Sex: 41%F;both;"Country: USA
Setting: Multicenter; medical centers
Number: 175
Age: 54
Sex: 41%F
Medications: Sulfonurea, metformin or diet onlyBL wt: 99.3(1) 98.2 CBL BMI: 34.1(1) 33.8 CBL GHb: 8.4 (1) 8.3 C";54;;;;;;;;;;;;
46;https://doi.org/10.1002/14651858.CD004096.pub2;Pharmacotherapy for weight loss in adults with type 2 diabetes mellitus;2005;65;Gershberg ;1972;Sex: NR;not reported;"Country: USA
Setting: NR
Number: 12
Age: NR
Sex: NR
Medications: NRBL wt: ave 143% ideal body weightBL BMI: NRBL GHb: NR";not reported;;;;;;;;;;;;
46;https://doi.org/10.1002/14651858.CD004096.pub2;Pharmacotherapy for weight loss in adults with type 2 diabetes mellitus;2005;65;Gershberg ;1977;Sex: 64%F;both;"Country: USA
Setting: Unclear
Number: 22
Age: NR
Sex: 64%F
Medications: No insulinBL wt: I 85.0, C 84.1BL BMI: NRBL GHb: NR";not reported;;;;;;;;;;;;
46;https://doi.org/10.1002/14651858.CD004096.pub2;Pharmacotherapy for weight loss in adults with type 2 diabetes mellitus;2005;65;Gokcel ;2001;Sex: 100%F;female;"Country: Turkey
Setting: Academic medical cetner
Number: 60
Age: 48
Sex: 100%F
Medications: Sulfonurea and metforminBL wt: 95.6(1) 95.5¸BL BMI: 39.3(1) 37.4¸BL GHb: 10.0 (I) 9.8¸";48;;;;;;;;;;;;
46;https://doi.org/10.1002/14651858.CD004096.pub2;Pharmacotherapy for weight loss in adults with type 2 diabetes mellitus;2005;65;Goldstein ;1992;Sex: NR;not reported;"Country: USA
Setting: NR
Number: 278
Age: NR
Sex: NR
Medications: NRBL wt: 100BL BMI: NRBL GHb: I 7.4, C 7.2";not reported;;;;;;;;;;;;
46;https://doi.org/10.1002/14651858.CD004096.pub2;Pharmacotherapy for weight loss in adults with type 2 diabetes mellitus;2005;65;Gray ;1992;Sex: I 67% F, C 42% F;both;"Country: USA
Setting: Single, university clinic
Number: 48
Age: 55
Sex: I 67% F, C 42% F 
Medications: InsulinBL wt: I 106, C 107BL BMI: I 38, C 39.0BL GHb: I 10.5, C 10.2";55;;;;;;;;;;;;
46;https://doi.org/10.1002/14651858.CD004096.pub2;Pharmacotherapy for weight loss in adults with type 2 diabetes mellitus;2005;65;Griffiths ;1995;Sex: NR;not reported;"Country: USA
Setting: NR
Number: 83
Age: NR
Sex: NR
Medications: NRBL wt: NRBL BMI: NRBL GHb: NR";not reported;;;;;;;;;;;;
46;https://doi.org/10.1002/14651858.CD004096.pub2;Pharmacotherapy for weight loss in adults with type 2 diabetes mellitus;2005;65;Guy?Grand;2001;Sex: NR;not reported;"Country: France
Setting: Multicenter, details NR
Number: 193
Age: 52
Sex: NR
Medications: Oral hypoglycemic agentsBL wt: NRBL BMI: 33.7BL GHb: 7.7";52;;;;;;;;;;;;
46;https://doi.org/10.1002/14651858.CD004096.pub2;Pharmacotherapy for weight loss in adults with type 2 diabetes mellitus;2005;65;Halpern ;2003;Sex: 69%F;both;"Country: Latin America
Setting: NR
Number: 338
Age: 51
Sex: 69%F
Medications: No insulin or acarboseBL wt: 89.6BL BMI: 34.6BL GHb: 8.4%";51;;;;;;;;;;;;
46;https://doi.org/10.1002/14651858.CD004096.pub2;Pharmacotherapy for weight loss in adults with type 2 diabetes mellitus;2005;65;Hanefeld ;2002;Sex: 56%F;both;"Country: Germany
Setting: Outpatient clinics
Number: 383
Age: 51y
Sex: 56%F
Medications: Diet or sulphonurea; no insulinBL wt: I 98.4, C 99.4BL BMI: I 33.7, C 34.5BL GHb: I 8.6, C 8.6";51;;;;;;;;;;;;
46;https://doi.org/10.1002/14651858.CD004096.pub2;Pharmacotherapy for weight loss in adults with type 2 diabetes mellitus;2005;65;Hawkins ;2000;Sex: NR;not reported;"Country: NR
Setting: Multicenter trial, details unclear
Number: 307
Age: NR
Sex: NR
Medications: NRBL wt: NRBL BMI: >27BL GHb: NR";not reported;;;;;;;;;;;;
46;https://doi.org/10.1002/14651858.CD004096.pub2;Pharmacotherapy for weight loss in adults with type 2 diabetes mellitus;2005;65;Hendon ;1962;Sex: NR;not reported;"Country: USA
Setting: academic endocrine clinic
Number: 40
Age: 51y
Sex: NR
Medications: NoneBL wt: 85BL BMI: NRBL GHb: NR";51;;;;;;;;;;;;
46;https://doi.org/10.1002/14651858.CD004096.pub2;Pharmacotherapy for weight loss in adults with type 2 diabetes mellitus;2005;65;Hollander ;2001;Sex: NR;not reported;"Country: USA
Setting: NR
Number: 503
Age: NR
Sex: NR
Medications: MetforminBL wt: NRBL BMI: >28BL GHb: NR";not reported;;;;;;;;;;;;
46;https://doi.org/10.1002/14651858.CD004096.pub2;Pharmacotherapy for weight loss in adults with type 2 diabetes mellitus;2005;65;Kaukua ;2004;Sex: 70%F (calculated weighted);both;"Country: Finland
Setting: Finnish primary medical care centers
Number: 236
Age: 54
Sex: 70%F (calculated weighted)
Medications: Diet only BL wt: I 100.8, C 98.1BL BMI: I 35.7, C 35.6 BL GHb: NR";54;;;;;;;;;;;;
46;https://doi.org/10.1002/14651858.CD004096.pub2;Pharmacotherapy for weight loss in adults with type 2 diabetes mellitus;2005;65;Kelley ;1997;Sex: NR;not reported;"Country: USA
Setting: Multicenter
Number: 322
Age: NR
Sex: NR
Medications: SulfonureasBL wt: NRBL BMI: NRBL GHb: NR";not reported;;;;;;;;;;;;
46;https://doi.org/10.1002/14651858.CD004096.pub2;Pharmacotherapy for weight loss in adults with type 2 diabetes mellitus;2005;65;Kelley ;2002;Sex: 57%F;both;"Country: USA
Setting: Multicenter; academic medical centers
Number: 550
Age: 58
Sex: 57%F
Medications: Insulin +/? oral agent (excluding thazolidindiones)BL wt: I 101.8, C 102.0 BL BMI: I 35.6, C 35.8BL GHb: I 9.0, C 9.0";58;;;;;;;;;;;;
46;https://doi.org/10.1002/14651858.CD004096.pub2;Pharmacotherapy for weight loss in adults with type 2 diabetes mellitus;2005;65;Kelley ;2004;Sex: 67;both;"Country: USA
Setting: Academic center; community recruitment
Number: 39
Age: 51
Sex: 67
Medications: Oral agents or diet; oral agents withdrawn 1 month prior to interventionBL wt: I 99, C 102BL BMI: I 34.0, C 35.9BL GHb: I 8.1, C7.8";51;;;;;;;;;;;;
46;https://doi.org/10.1002/14651858.CD004096.pub2;Pharmacotherapy for weight loss in adults with type 2 diabetes mellitus;2005;65;Kutnowski ;1990;Sex: 66%F;both;"Country: Belgium
Setting: Multicenter, no details
Number: 134
Age: NR
Sex: 66%F
Medications: NR; NIDDM and IGT patients combinedBL wt: NRBL BMI: I 34.1, C 34.1 BL GHb: NR";not reported;;;;;;;;;;;;
46;https://doi.org/10.1002/14651858.CD004096.pub2;Pharmacotherapy for weight loss in adults with type 2 diabetes mellitus;2005;65;Kutnowski ;1992;Sex: 47%F;both;"Country: Belgium
Setting: Multicenter; details Unclear
Number: 97
Age: 51
Sex: 47%F
Medications:BL wt: I 91.0, C 92.3BL BMI: I 34.4, C 34.3BL GHb: NR";51;;;;;;;;;;;;
46;https://doi.org/10.1002/14651858.CD004096.pub2;Pharmacotherapy for weight loss in adults with type 2 diabetes mellitus;2005;65;le Roux;2001;Sex: NR;not reported;"Country: England
Setting: NR
Number: 7
Age: NR
Sex: NR
Medications: NRBL wt: NRBL BMI: 40.2BL GHb: 8.7";not reported;;;;;;;;;;;;
46;https://doi.org/10.1002/14651858.CD004096.pub2;Pharmacotherapy for weight loss in adults with type 2 diabetes mellitus;2005;65;Lindgarde ;2000;Sex: 64% (whole population);both;"Country: Sweden
Setting: 33 primary care centers
Number: 99
Age: 54y (whole population)
Sex: 64% (whole population)
Medications: NRBL wt: NR for diabetic populationBL BMI: NR for diabetic populationBL GHb: I 8.7, C 10.0";54;;;;;;;;;;;;
46;https://doi.org/10.1002/14651858.CD004096.pub2;Pharmacotherapy for weight loss in adults with type 2 diabetes mellitus;2005;65;Martin ;2001;Sex: 51%F;both;"Country: Northern Ireland
Setting: Obesity clinic
Number: 55
Age: NR
Sex: 51%F
Medications: NRBL wt: I: 102.8, C 101.1BL BMI: NRBL GHb: I 37.8, C 42";not reported;;;;;;;;;;;;
46;https://doi.org/10.1002/14651858.CD004096.pub2;Pharmacotherapy for weight loss in adults with type 2 diabetes mellitus;2005;65;McNulty ;2003;Sex: 56%F;both;"Country: Multicenter: England, Canada, France, Belgium
Setting: NR
Number: 195
Age: 49
Sex: 56%F
Medications: MetforminBL wt: 103.3BL BMI: 36.3BL GHb: 9.6";49;;;;;;;;;;;;
46;https://doi.org/10.1002/14651858.CD004096.pub2;Pharmacotherapy for weight loss in adults with type 2 diabetes mellitus;2005;65;Mendoza?Guadarra;2000;Sex: 60%F;both;"Country: Mexico
Setting: obesity clinic
Number: 30
Age: 51
Sex: 60%F
Medications: NRBL wt: NRBL BMI: I 31.3, C 30.6BL GHb: NR";51;;;;;;;;;;;;
46;https://doi.org/10.1002/14651858.CD004096.pub2;Pharmacotherapy for weight loss in adults with type 2 diabetes mellitus;2005;65;Miles ;2002;Sex: 48%F;both;"Country: USA
Setting: Multicenter; Unclear
Number: 505
Age: 53y
Sex: 48%F
Medications: Metformin +/? sulfonureaBL wt: I 101.1, C 102.1BL BMI: I 35.2, C 35.6BL GHb: I 8.8, C 8.9";53;;;;;;;;;;;;
46;https://doi.org/10.1002/14651858.CD004096.pub2;Pharmacotherapy for weight loss in adults with type 2 diabetes mellitus;2005;65;Montenero ;1964;Sex: 65%F;both;"Country: Italy
Setting: NR
Number: 50
Age: 54
Sex: 65%F
Medications: 17% insulin; 67% oral agentsBL wt: I 97 , C 92 BL BMI: NRBL GHb: NR";54;;;;;;;;;;;;
