;COPD;;;;;;Ischaemic Heart Disease;;;;;;Alzheimer's disease;;;;;;Stroke;;;;;;Diabetis Mellitus;;;;;;;
9;659;31248767;?ENaC-Tg mice at 14-week-old and elastase-induced mice at 3 weeks after elastase intratracheal administration (at 14-week-old);14 weeks;14;not reported;6835;33417139;;11-13 weeks;12;not reported;10706;31084613;APP/PS1 mice deficient or hemizygous for Apoa1 were aged to 12?months.;12 month ~ 52 weeks;52;both;2863;33202930;adult male mice weighing 25?30 g. C57BL/6 mice were purchased from Jackson Laboratory;8-12 weeks;10;male;22255;28607454;To induce T2D, we fed a HFD (60% fat) to 4-week-old male C57BL/6 mice (Daehan Bio Link, Eumseong, Korea) for 12 weeks.;16 weeks;16;male;;
10;906;23686858;Adult female C57BL/6J mice were purchased from The Jackson Laboratory (Bar Harbor, ME) ...The mice received Neu-164, Neu-107, or dexamethasone at 1 ?g/day, or Neu-164 only at 5 ?g/day in a 40-?l volume, corresponding to 40 or 200 ?g/kg for a 25-g mouse;25-g mouse = 19 weeks?;19;female;6930;26861678;adult male mice (Age: 10?12 weeks, BW: 20?30?g)ÿ;10-12 weeks;11;male;12967;28696431;Briefly, 5 months old PS19 and wild-type littermates mice were anesthetized and an incision was made around the skin area containing the whisker follicles, which were then removed. At 10 months of age, mice were sacrificed with pentobarbital and perfused with 4% PFA. The contralateral barrel cortices (corresponding to the half snouts that did not undergo surgery) were used as controls.;10 month ~ 43,5 weeks;43,5;both;384;34921928;Two-month-old GFAP?/?Vim?/? (Pekny et al., 1999b) and wild-type (WT) male mice on a C57BL6?129Sv?129Ola mixed genetic background were used;2 month ~ 9 weeks;9;male;29874;30511897;"Adult wild?type (WT; n=16) and Akita (n=16) mice, aged 3 to 5ÿmonths, were purchased from the Jackson Laboratory and used for experiments";3-5 month ~ 13-22;18;not reported;;
11;589;31468083;Thirty male C57BL/6 mice (8?10 weeks of age, 18?22 g) were obtained from the Laboratory Animal Centre of Guangxi Medical University. All animals were housed separately in specific-pathogen-free glass cages, and there was free access to tap water and a standard diet. Mice were divided randomly into three groups: air control (AIR), cigarette smoke-exposed (CS), and cigarette smoke-exposed?+?rapamycin-treated (CS?+?RAPA) mice. Mice in CS group and CS?+?RAPA group were placed in a closed 0.75-m3 chamber and were exposed to the smoke from five cigarettes (Nanning Zhen long unfiltered cigarettes: 12 mg of tar and 0.9 mg of nicotine). The smoke-to-air ratio was 1:6. The cigarette smoke exposure takes 40 min per time, four times a day and 5 days a week, for 24 weeks totally;32-34 weeks;33;male;6775;21387140;Experiments were conducted using 10-week old male Hsp70 knockout (KO) mice (The Jackson Laboratory, Bar Harbor, ME, USA) and their littermates in a C57BL/6 background.;10 weeks;10;male;8203;29406266;The average mouse age was 8?12 months and both male and female were used. ;10 month ~ 43,5 weeks;43,5;both;6157;27094968;WT and Cx3cr1+/GFP mice (8?12-week-old males, 22?25 g) were anesthetized using Avertin;8-12  weeks;10;male;13152;16651465;KKAy male mice (21 weeks old) were fed normal chow during the observation period.;21 weeks;21;male;Kai;
12;1021;28572155;Six-week-old C57BL/6J female mice purchased from Harlan Sprague Dawley ;6 weeks;6;female;3068;29119710;In brief, male homozygous B6.Cg-m +/+ Leprdb/J (db/db) mice were obtained from the Jackson Laboratory (Bar Harbor, ME) at 4 weeks of age and were housed within the Animal Facility with free access to food and water until 12 weeks of age in an American Association for Accreditation of Laboratory Animal Care-approved animal facility.;12 weeks;12;male;4073;32522622;This study used 61 male and 47 female 5xFAD (B6SJL-Tg (APPSwFILon,PSEN1 *M146L*L286 V) 6799Vas/Mmjax) and 67 male and 62 female littermate wild-type (C57BL/6J x SJL/J) mice. ;15 month;65;both;6155;27384243;All mice used in the present study were adult (7?10 weeks) males.;7-10 weeks;8,5;male;4842;32002051;In this study male mice (Mus musculus) will be used, Double Distsch Webster strain (DDW) age: 2-3 months (adults), weight 20-30 grams, healthy, never used in other studies.;2-3 month;11;male;;
13;1942;22343222;Groups of 10 male 6- to 8-week-old C57BL/6 mice were exposed to the tobacco smoke of two cigarettes five times per day, The animals were exposed to mainstream cigarette smoke by whole-body exposure, 5 days per week, for 16 weeks.;6-8 weeks + 16 weeks;16;male;5721;23547844;Male C57BL/6J mice, 10?12 weeks of age (Jackson Labs, Bar Harbor, ME) were used in the present study.;10-12 weeks;11;male;2165;33920212;"Wild-type 8-week-old male C57BL/12N mice (1. Vehicle group Total = 12 (6 mice for Western blot + 6 mice for Confocal Microscopy); 2. A? (Toxic group) Total = 12 (6 mice for Western blot + 6 mice for Confocal Microscopy); 3. A? + NAM (Treated group) Total = 12 (6 mice for Western blot + 6 mice for Confocal Microscopy, i.e., n = 36) of 25?30 g weight were obtained from Samtako Bio, Usan, Korea.";8 weeks;8;male;305;35142404;C57BL/6J mice (male, 9-week-old, 21?24?g) were provided by Charles River Laboratories (Beijing, China), and housed in a specific condition with free access to food and water.;9 weeks;9;male;3591;32851652;Experiments were performed on 16?week?old db/db female mice (B6.BKS(D)?Leprdb/J, stock #697) (IMSR_JAX:000697) and their respective db/+ (heterozygous) controls purchased from The Jackson Laboratory (Bar Harbor, ME, USA).;16 weeks;16;female;;
14;617;31257455;"Briefly, six-week-old C57BL/6N male mice (n=24; body weight, 18-20 g) were obtained from Koatech Co. Ltd. (Pyeongtaek-si, Korea), quarantined and acclimated to a specific pathogen-free system for ?1 week prior to the experiments ";7 weeks;7;male;4217;26643815;Twelve week-old male wild-type (WT) and PAR4 KO mice were anesthetized with a mixture of ketamine (100 mg/kg) and xylazine (10 mg/kg) to perform a left thoracotomy under mechanical ventilation.;12 weeks;12;male;2408;33748578;Male and female transgenic (Tg) or wild-type (WT) mice aged 8 months were used in all studies;8 month;35;both;3036;31584257;To prepare the photothrombotic mouse brain stroke model, Balb/c nude mice (10 weeks old, 20?25 g, male) were purchased from Orient Bio (Seoul, Korea).;10 weeks;10;male;29995;9389417;weanling male CD-1 mice were placed on EFA-deficient or control chow for 2 month;2 month;8,7;male;;
15;1796;23559007;Five-week-old mice were exposed to CS from Kentucky reference cigarette 3R4F (University of Kentucky) for 5?h per day for 4 days using a Teague TE-10 smoking system ;5 weeks;5;not reported;691;33664407;Male C57BL/6 J mice (23?25 g, 6 weeks old, Janvier Labs, France, n?=?34) were single-housed in a controlled environment (20?22 øC, humidity 40?60%) with a 12 h light/dark cycle. The animals were acclimatized for at least one week before surgery.;7 weeks;7;male;50;35448465;"The study was conducted in a subset of 88 male mice from the previously published study [2], including 40 controls (B6129SF2/J, strain# 101045) and 48 3xTg mice (B6; 129-Psen1tm1MpmTg(APPSwe,tauP301L)1Lfa/Mmjax; strain#004807, The Jackson Laboratory, Bar Harbor, ME, USA), stratified into 5 groups and studied at age 8 or 14 months";8 and 14 month;61;male;2889;31756420;Nine to ten week old, male, C57BL/6 were obtained from Animal Care Facilities of the Biological Sciences Institute of the Federal University of Minas Gerais;9-10 weeks;9,5;male;29039;10588736;Eleven-week-old male mice, at week 7 on a high-sucrose/high-fat diet, were fasted for 16 hr.ÿ;11 weeks;11;male;;
16;474;32164488;"A total of 30 C57BL/6 mice (weighing (22?ñ?2)?g; male and female mixed) were provided by the Guangdong Medical Laboratory Animal Center. After feeding for a week, all the mice were randomly distributed into five groups with six mice in each group All animals were raised in the uniform condition for 21?d.";~10weeks + 3weeks;13;both;338;34474073;57BL/6 J mice (10?12 weeks old) were kept anesthetized on a heating pad in a supine position by inhalation of 2% isoflurane via a face mask. ;10-12 weeks;11;not reported;1658;34272505;At the age of 5 months, both male WT littermate mice and APP/PS1 transgenic mice were randomly divided into three groups: wild-type control group (WT), APP/PS1 control group (AD-con);5 month~22 weeks;22;male;1857;33074466;"C57BL/6 aged male and female mice (18?20 months of age; National Institute on Aging, Bethesda, MD) were acclimated for 3 months in our animal care facility prior to use.";19 month ;82,5;both;34123;8149657;"Sera from animals used in the study comprised four groups as follows; group I, 15 'pre-diabetic' NOD/Lt mice (10 females, five males) 6 weeks of age and tested negative for glycosuria (Tes-Tapc, Eli Lilly Co., Indianapolis, IN); group II. 19 'pre- diabetic' NOD/ShiHlBom mice (10 females, nine males) between 9 and 15 weeks of age and tested negative for glycosuria; group HI, 15 recent-onset diabetic NOD/Lt mice (10 females, five males) between 13 and 16 weeks of age and tested positive for glycosuria; and group IV. 15 non-diabetic prone NOR mice (10 females, five males) between 11 and 16 weeks of age.";16 weeks;16;both;;
17;1237;27423012;"Under pathogen free conditions, female mice homozygous for CIRP (CIRP?/?) and
wild-type C57BL/6 mice (4?6 weeks, 18?25 g) were purchased from
Jackson Laboratory (Bar Harbor, Maine, ME)";4-6 weeks;5;female;2760;29723062;C57BL/6 mice (male, aged 10?12wk, mean weight25 ñ 2g) were purchased from Shanghai Laboratory Animal Center (Shanghai, China) and housed in a temperature- and humidity-controlled environment (22 ñ 1øC, 60?70% relative humidity) with a 12-h light/dark cycle. The mice were provided rodent chow (Slacom, Shanghai, China) and tap water ad libitum. Test animals were treated with RvE1 (8 or 16 ng/g body weight) daily via i.p. injection 2 d before surgery. ;10-12 weeks;11;male;12118;24166183;Experiments were carried out on 3-month-old male Swiss albino mice from the animal facility of Universidade Federal de Santa Catarina (UFSC, Florian¢polis, Brazil), weighing 30?35 g at the time of testing.;3 month ~13 weeks;13;male;3572;30953775;Male C57BL/6J mice (Janvier, Le Genest Saint-Isle, France) were housed in a 12?h light-dark cycle and had free access to food and water. At the age of six weeks, with a mean body weight of 20?g, mice were divided into two groups. Glycemia was tested weekly for 8?weeks.;14 weeks;14;male;9843;28566408;"Laboratory Animals, Male C57BL/6J mice were purchased from Shanghai SLAC Laboratory Animal Co. Ltd. For the diet-induced obesity model, mice at 8 weeks of age were fed a high-fat diet (HFD) containing 60% kcal of fat (D12492; Research Diets, Inc., NJ, USA) for 18 weeks.";8+18 weeks;26;male;;
18;860;29667749;Studies were performed on 4- to 5-week-old mice from four different transgenic lines.;4-5 weeks;4,5;both;5098;24807380;C57BL/6J mice (Laboratory Animal Center of Nanjing Medical University, male, aged 6?8 weeks, weighing 18?24 g) were anesthetized with sodium pentobarbital (50 mg/kg, intraperitoneally) followed by tracheal intubation with artificial ventilation. ;6-8 weeks;9;male;15858;20071513;"To examine the possible contributions of accumulating A? pathology throughout life on olfaction, we used four separate age groups: 3- to 4-month-old (Tg, n = 5, 5 males; and WT, n = 6, 2 females, 4 males), 6- to 7-month-old (Tg, n = 5, 3 females, 2 males; and WT, n = 4, 2 females, 2 males), 16-month-old (Tg, n = 6, 6 males; and WT, n = 9, 9 males), and 21- to 29-month-old mice (mean ñ SEM, 23.5 ñ 0.6; Tg, n = 6, 2 females, 4 males; and WT, n = 8, 4 females, 4 males).";23,5 month ~ 102 weeks ;102;both;6475;26658636;8?11 weeks old male C57BL/6N mice (Charles River, Cologne, Germany) were housed in the local animal facility of the University Medical Center G”ttingen under diurnal lighting conditions and allowed access to food and water ad libitum.;8-11 weeks;9,5;male;3121;33186558; In all of the experiments, considering that female mice are resistance to obesity and type 2 diabetes, only male mice were used. The age and number of the mice used for the experiments are indicated for each experiment in the figure legends.;20 weeks;20;male;;
19;1469;25857284;Female C57BL/6 mice, 8?10 weeks old, were treated with sc neutrophil elastase or tc neutrophil elastase;8-10 weeks;9;female;1409;32255569;Healthy 6 to 8?weeks old C57BL/6 Inbr (J) mice were obtained from Guangdong Medical Laboratory Animal Center (China) and adaptively fed for a week. Mice (n =?5) were intravenously injected with miR-129-5p agomir (GenePharma, China) or nonspecific control (NC) agomir (GenePharma, China) every 3?days for 2?weeks before surgery according to the manufactures' instruction;6-8 weeks;7;not reported;14897;23223301;Mice were analyzed at 9 months of age.  For experiments, only female mice were used.;9 month;39;female;5602;28053036;Both male and female mice were used, and all mice used were between 2 and 5 months of age. ;2-5 month;15;both;25405;15284298;"Six-week-old homozygous apo E-KO male mice (back-crossed 20 times from the C57BL/6 strain; Animal Resource Centre, Canning Vale, W.A., Australia) and normal C57BL/6 mice were housed at the Biologic Research Laboratory at the Austin and Repatriation Medical Centre.";6 weeks;6;male;;
20;1627;24816488;Female BALB/cByJ mice (6?8 wk) were purchased from Charles River Laboratories. Female Pim1-deficient and -proficient FVB/Nrcl mice (8?14 wk) were obtained from the Netherlands Cancer Institute;6-14 weeks;10;female;2071;31025825;Ten-week-old male C57BL6 mice were subjected to MI or sham operation 1ÿday after baseline echocardiography;10 weeks;10;male;3407;33016371;Behavioral testing was initiated at 14 months of age in Tmem106b WT (n = 14), Tmem106b HET (n = 11) and Tmem106b KO (n = 14) mice?all females.;14 month ~61 weeks;61;female;7698;24748101;In vivo ischemic injury and preconditioning experiments were performed on male C57BL/6N mice (18?22 g, 8?12 weeks old, Charles River, Germany).;8-12 weeks;10;male;23236;15692809;Diabetes development was monitored by biweekly testing for glucosuria in BC1 females from 8 until 40 weeks of ageÿ;40 weeks;40;female;;
;;;https://www.jax.org/jax-mice-and-services/strain-data-sheet-pages/body-weight-chart-000664;;15,113;;;;;;11,3;;;;;;44,35;;;;;;13,425;;;;;;18,81;;;
;;;;;;;;153;26130752;Rip2?/? mice7 and wild-type (WT) littermates ;not reported;;male and female;;;;23,55514247;;;;;;16,49343968;;;;;;;;;
;;;;;;;;6861;29438488;anesthetized male and female mice as previously described;not reported;;male and female;;;;5,267089979;;;;;;3,688045232;;;;14,315;;;;;
;;;;;;;;;;;;;;;;;;;;31626784;Male wild-type C57BL/6 mice were used in this study;not reported;;Male;;;;;;;;
